City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
369,Makakilo City,US,89.6,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
373,Denpasar,ID,78.8,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
375,Dhanera,IN,76.62,clear sky,24.52,72.02,Sri Madhav Hostel Dhanera
379,Puerto Escondido,MX,84.2,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
380,Amuntai,ID,81.86,overcast clouds,-2.42,115.25,Hotel Balqis
383,Patos,BR,76.6,broken clouds,-7.02,-37.28,Hotel JK
387,Mae Sai,TH,75.2,few clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
390,Marsh Harbour,BS,83.08,overcast clouds,26.54,-77.06,Abaco Beach Resort
391,Manadhoo,MV,81.82,clear sky,5.77,73.38,Vevu Guesthouse
393,Kupang,ID,82.4,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
395,Awjilah,LY,85.19,clear sky,29.11,21.29,
404,Katsina,NG,82.02,few clouds,12.99,7.6,Katsina Motel
408,Port Macquarie,AU,79.0,clear sky,-31.43,152.92,Rydges Port Macquarie
414,Tiarei,PF,82.4,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
415,Boyolangu,ID,77.5,overcast clouds,-8.12,111.89,Yos ega cv
419,Charters Towers,AU,75.99,overcast clouds,-20.1,146.27,Cattleman's Rest Motor Inn
421,Hambantota,LK,75.2,scattered clouds,6.12,81.12,Bungalow 63
426,Sokoto,NG,82.36,clear sky,13.06,5.24,RG Palace
428,Kavaratti,IN,80.58,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
429,Bama,NG,80.4,scattered clouds,11.52,13.69,UN Humanitarian Hub
433,Paciran,ID,80.78,broken clouds,-6.88,112.38,Tanjung Kodok Beach Resort
434,Mount Isa,AU,82.4,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
442,Wattegama,LK,75.2,scattered clouds,6.8,81.48,
447,Jabinyanah,TN,75.2,few clouds,35.03,10.91,maison belmabrouk
455,Vega De Alatorre,MX,77.83,clear sky,20.03,-96.63,Hotel Deluxe
459,Sola,VU,78.69,scattered clouds,-13.88,167.55,Leumerus Bungalows
462,Lamu,KE,78.8,scattered clouds,-2.27,40.9,Lamu House
471,Acarau,BR,78.37,scattered clouds,-2.89,-40.12,castelo pizzaria
473,Wewak,PG,84.81,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
476,Salinas,US,77.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
478,Cabo Rojo,PR,82.99,broken clouds,18.09,-67.15,Hotel Perichi's
483,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
485,Nabire,ID,84.54,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
488,Praya,CV,75.2,few clouds,14.92,-23.51,LT Aparthotel
489,Bida,NG,76.71,light rain,9.08,6.02,Royal Suite
491,Bantva,IN,77.02,clear sky,21.49,70.07,Jay gatrad ma
494,Flinders,AU,75.0,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
499,Bengkulu,ID,76.08,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
501,Terra Santa,BR,84.36,scattered clouds,-2.1,-56.49,Igreja da paz
507,Labuhan,ID,80.69,broken clouds,-6.88,112.21,bador sepret
508,Manuk Mangkaw,PH,83.88,light rain,4.8,119.85,
509,Half Moon Bay,US,78.01,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
510,Sinnamary,GF,79.72,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
512,Mitsamiouli,KM,76.68,scattered clouds,-11.38,43.28,Foyer ADM
514,Jieshi,CN,82.99,broken clouds,22.81,115.83,Yuehai Hotel
519,Oussouye,SN,82.4,few clouds,12.48,-16.55,Auberge du Routard
522,Yanam,IN,75.04,overcast clouds,16.73,82.22,The Regency Hotel
523,Male,MV,80.6,broken clouds,4.17,73.51,Hotel Octave Maldives
530,Salalah,OM,75.2,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
532,Sulphur,US,80.6,clear sky,30.24,-93.38,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
536,Kiunga,PG,79.02,heavy intensity rain,-6.12,141.29,Airport Lodge Kiunga
537,Misratah,LY,84.69,broken clouds,32.38,15.09,فندق الماسة
542,Nargana,PA,79.61,overcast clouds,9.44,-78.59,Dubbir
544,Urbano Santos,BR,76.77,few clouds,-3.21,-43.4,Pousada Santa Luzia
549,Sydney,AU,82.4,clear sky,-33.87,151.21,QT Sydney
552,Katherine,AU,84.2,scattered clouds,-14.47,132.27,Pine Tree Motel
557,Santa Luzia,BR,82.4,scattered clouds,-19.77,-43.85,Pousada Chao Earth
562,Alta Floresta,BR,82.8,heavy intensity rain,-9.88,-56.09,Floresta Amazonica Hotel
564,Taganak,PH,77.0,few clouds,6.08,118.3,
567,La Primavera,CO,78.17,overcast clouds,5.49,-70.41,La Riviera Hotel Colonial
572,Icatu,BR,80.6,few clouds,-2.78,-44.07,Hotel Guaxenduba
573,Mizdah,LY,79.86,overcast clouds,31.45,12.98,محمدالمبروك الاريقط
574,Pimenta Bueno,BR,82.9,very heavy rain,-11.67,-61.19,Cristalina Palace Hotel
577,Phan Thiet,VN,77.61,moderate rain,10.93,108.1,Hotel Saigon-PT
578,Yarada,IN,75.2,light rain,17.65,83.27,"D-26/2, Dolphin Hill,"
580,Bang Saphan,TH,75.2,scattered clouds,11.21,99.51,Ladawan Boutique Hotel
583,Nueva Loja,EC,77.0,broken clouds,0.08,-76.88,Limoncocha Great Hotel
584,Singaraja,ID,81.54,scattered clouds,-8.11,115.09,Puri Bagus Lovina Resort
590,Maymyo,MM,78.8,broken clouds,22.03,96.47,Tiger Hotel
591,Omboue,GA,76.32,light rain,-1.57,9.26,Hotel Olako
592,Bucerias,MX,87.8,few clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
594,Matamoros,MX,87.8,clear sky,25.53,-103.25,Recreativo Sabdy Briseidy
596,Aracruz,BR,81.0,scattered clouds,-19.82,-40.27,OYO Hotel Iramar
602,Wawa,NG,76.68,broken clouds,9.9,4.42,
608,Ca Mau,VN,79.2,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
609,Turbat,PK,80.24,clear sky,26.0,63.04,Mubashar Quarters
